
   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server
  2026-05-13 14:37:37 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.37ms
  2026-05-13 14:37:37 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 2.47ms
  2026-05-13 14:37:37 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 3.76ms
  2026-05-13 14:37:37 /favicon.ico ......................................................................... ~ 0.20ms
  2026-05-13 14:38:03 /install/site ...................................................................... ~ 511.29ms

   INFO  Environment modified. Restarting server...  

   INFO  Server running on [http://127.0.0.1:8000].  

  Press Ctrl+C to stop the server

  2026-05-13 14:38:04 /install/database .................................................................. ~ 509.00ms
  2026-05-13 14:38:05 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.33ms
  2026-05-13 14:38:05 /themes/default/fonts/typography/public/public.css ................................... ~ 1.57ms
  2026-05-13 14:38:05 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 2.70ms
  2026-05-13 14:38:05 /themes/default/css/style.css ........................................................ ~ 3.82ms
  2026-05-13 14:38:05 /themes/default/css/custom.css ....................................................... ~ 4.28ms
  2026-05-13 14:38:05 /themes/default/js/customScript.js ................................................... ~ 6.04ms
  2026-05-13 14:38:05 /themes/default/js/installer.js ...................................................... ~ 6.53ms
  2026-05-13 14:38:05 /themes/default/images/bg/installer.jpg .............................................. ~ 0.16ms
  2026-05-13 14:38:05 /themes/default/fonts/typography/rubik/Rubik-SemiBold.ttf ............................ ~ 0.19ms
  2026-05-13 14:38:05 /themes/default/fonts/fontawesome/fa-solid-900.woff2 ................................. ~ 0.29ms
  2026-05-13 14:38:05 /themes/default/fonts/typography/rubik/Rubik-Medium.ttf .............................. ~ 1.94ms
  2026-05-13 14:38:05 /themes/default/fonts/typography/rubik/Rubik-Regular.ttf ............................. ~ 3.37ms
  2026-05-13 14:38:05 /favicon.ico ......................................................................... ~ 0.16ms
  2026-05-13 14:39:14 /install/database .................................................................. ~ 513.87ms
  2026-05-13 14:39:14 /install/database .................................................................... ~ 0.32ms
  2026-05-13 14:39:15 /themes/default/fonts/fontawesome/fontawesome.css .................................... ~ 0.23ms
  2026-05-13 14:39:15 /themes/default/fonts/typography/public/public.css ................................... ~ 2.02ms
  2026-05-13 14:39:15 /themes/default/fonts/typography/rubik/rubik.css ..................................... ~ 4.22ms
  2026-05-13 14:39:15 /themes/default/css/style.css ........................................................ ~ 5.85ms
  2026-05-13 14:39:15 /themes/default/css/custom.css ....................................................... ~ 6.87ms
  2026-05-13 14:39:15 /themes/default/js/customScript.js ................................................... ~ 8.60ms
  2026-05-13 14:39:15 /themes/default/js/installer.js ...................................................... ~ 7.96ms
  2026-05-13 14:39:15 /themes/default/images/bg/installer.jpg .............................................. ~ 0.19ms
